timestamp,sog [kn],lat [deg],lon[deg],STATE
2023-07-18T06:34:15,6.2,-6.70570666667,112.70127,P1
2023-07-18T06:36:46,6.2,-6.70828333333,112.704768333,P1
2023-07-18T06:37:06,6.1,-6.70861333333,112.705268333,P1
2023-07-18T06:37:15,6.1,-6.70875,112.705486667,P1
2023-07-18T06:37:25,6.1,-6.70889833333,112.70573,P1
2023-07-18T06:38:47,6.1,-6.70996666667,112.707796667,P1
2023-07-18T06:39:25,6.1,-6.71036833333,112.708795,P1
2023-07-18T06:39:36,6.1,-6.71047833333,112.709088333,P1
2023-07-18T06:39:47,6.1,-6.71058666667,112.709383333,P1
2023-07-18T06:39:56,6.1,-6.71067666667,112.709625,P1
2023-07-18T06:40:27,6.1,-6.71098666667,112.710458333,P1
2023-07-18T06:40:56,6.2,-6.71127333333,112.741667,P1
2023-07-18T06:41:17,6.2,-6.71147333333,112.71178,P1
2023-07-18T06:52:15,4.1,-6.718355,112.72813,P1
2023-07-18T06:52:56,3.9,-6.71866166667,112.728835,P1
2023-07-18T06:53:15,3.8,-6.71880333333,112.729163333,P1
2023-07-18T06:53:37,3.7,-6.71893666667,112.729503333,P1
2023-07-18T06:54:46,3.4,-6.71934833333,112.730581667,P1
2023-07-18T07:06:07,1.5,-6.72062333333,112.738191667,P1
2023-07-18T07:11:06,0.9,-6.72155,112.739531667,P1
2023-07-18T07:14:37,0.6,-6.722155,112.739836667,P1
2023-07-18T07:16:06,0.5,-6.722355,112.739891667,P1
2023-07-18T07:16:26,0.5,-6.72239833333,112.739903333,P1
2023-07-18T07:16:46,0.4,-6.72243833333,112.739915,P1
2023-07-18T07:17:06,0.4,-6.72247833333,112.739925,P1
2023-07-18T07:17:16,0.4,-6.72249833333,112.739926667,P1
2023-07-18T07:17:26,0.4,-6.72251666667,112.739931667,P1
2023-07-18T07:17:37,0.4,-6.72253666667,112.739933333,P1
2023-07-18T07:17:47,0.4,-6.722555,112.739935,P1
2023-07-18T07:17:57,0.4,-6.72257166667,112.739936667,P1
2023-07-18T07:18:06,0.4,-6.72258833333,112.739938333,P1
2023-07-18T07:18:47,0.4,-6.72265833333,112.739931667,P1
2023-07-18T07:18:56,0.4,-6.722675,112.73993,P1
2023-07-18T07:19:16,0.4,-6.72271166667,112.739925,P1
2023-07-18T07:19:37,0.3,-6.72274166667,112.73992,P1
2023-07-18T07:19:47,0.3,-6.72275666667,112.739916667,P1
2023-07-18T07:20:06,0.3,-6.72278166667,112.739911667,P1
2023-07-18T07:20:16,0.3,-6.722795,112.739908333,P1
2023-07-18T07:20:37,0.3,-6.72282166667,112.739903333,P1
2023-07-18T07:20:47,0.3,-6.72283333333,112.739898333,P1
2023-07-18T07:21:35,0.2,-6.72288666667,112.739878333,P1
2023-07-18T07:21:56,0.2,-6.72290833333,112.73987,P1
2023-07-18T07:22:06,0.2,-6.72292,112.739865,P1
2023-07-18T07:27:47,0.3,-6.72306333333,112.739573333,P1
2023-07-18T07:39:26,0.5,-6.72242333333,112.738476667,P1
2023-07-18T08:31:16,6.4,-6.77974666667,112.747635,P1
2023-07-18T08:31:36,6.4,-6.78031333333,112.747626667,P1
2023-07-18T08:35:26,6.4,-6.787195,112.747491667,P1
2023-07-18T08:38:36,6.4,-6.79283,112.747351667,P1
2023-07-18T08:38:55,6.4,-6.793395,112.747335,P1
2023-07-18T08:44:55,7.9,-6.805265,112.746991667,P1
2023-07-18T08:47:57,7.1,-6.81154666667,112.746828333,P1
2023-07-18T08:48:16,7.0,-6.812165,112.74681,P1
2023-07-18T08:50:57,6.7,-6.81730166667,112.746651667,P1
2023-07-18T08:51:06,6.7,-6.81758333333,112.746643333,P1
2023-07-18T08:52:27,6.6,-6.82009166667,112.74659,P1
2023-07-18T08:53:36,6.5,-6.82219166667,112.746526667,P1
2023-07-18T08:54:17,6.5,-6.82343166667,112.746486667,P1
2023-07-18T08:55:36,6.5,-6.82581666667,112.746416667,P1
2023-07-18T08:56:26,6.4,-6.82732166667,112.746356667,P1
2023-07-18T08:59:07,6.4,-6.83214333333,112.746168333,P5
2023-07-18T09:01:37,5.5,-6.83634666667,112.746013333,P3
2023-07-18T09:01:47,5.4,-6.83659666667,112.746003333,P3
2023-07-18T09:02:07,5.2,-6.837085,112.745976667,P3
2023-07-18T09:02:25,5.1,-6.83751333333,112.745956667,P3
2023-07-18T09:03:37,5.4,-6.83920833333,112.745881667,P3
2023-07-18T09:05:37,5.7,-6.84236,112.745763333,P3
2023-07-18T09:07:16,7.2,-6.845295,112.745698333,P5
2023-07-18T09:07:26,7.4,-6.84565166667,112.745685,P5
2023-07-18T09:08:46,9.0,-6.84877333333,112.745636667,P5
2023-07-18T09:09:16,9.5,-6.85009,112.745606667,P5
2023-07-18T09:09:26,9.6,-6.85054333333,112.745605,P5
2023-07-18T09:09:55,9.9,-6.85186333333,112.745593333,P5
2023-07-18T09:10:17,10.1,-6.85288666667,112.745568333,P5
2023-07-18T09:11:06,10.4,-6.85523333333,112.745505,P3
2023-07-18T09:11:27,10.5,-6.85625166667,112.74547,P3
2023-07-18T09:11:56,10.7,-6.857695,112.745458333,P3
2023-07-18T09:12:17,10.7,-6.85875166667,112.74546,P3
2023-07-18T09:19:16,11.5,-6.879435,112.739266667,P3
2023-07-18T09:19:27,11.5,-6.87999,112.739061667,P3
2023-07-18T09:19:57,11.6,-6.88150833333,112.738515,P3
2023-07-18T09:20:57,11.5,-6.88454666667,112.737391667,P3
2023-07-18T09:21:16,11.4,-6.88544833333,112.737058333,P3
2023-07-18T09:21:57,11.2,-6.88746333333,112.73632,P3
2023-07-18T09:22:07,11.2,-6.88795166667,112.736145,P3
2023-07-18T09:22:37,11.1,-6.889475,112.735588333,P3
2023-07-18T09:23:46,10.9,-6.89278,112.734373333,P3
2023-07-18T09:30:27,10.5,-6.91138833333,112.727556667,P3
2023-07-18T09:30:56,10.5,-6.91272833333,112.727081667,P3
2023-07-18T09:31:06,10.5,-6.91323666667,112.726905,P3
2023-07-18T09:31:17,10.5,-6.91370166667,112.726746667,P3
2023-07-18T09:31:47,10.5,-6.91509166667,112.726271667,P3
2023-07-18T09:31:56,10.5,-6.91551333333,112.726125,P3
2023-07-18T09:32:06,10.5,-6.91603,112.725941667,P3
2023-07-18T09:32:17,10.5,-6.916495,112.725781667,P3
2023-07-18T09:32:36,10.5,-6.91738166667,112.725491667,P3
2023-07-18T09:32:56,10.5,-6.91830666667,112.725181667,P3
2023-07-18T09:33:17,10.5,-6.91927833333,112.724841667,P3
2023-07-18T09:33:35,10.5,-6.92011166667,112.724551667,P3
2023-07-18T09:34:06,10.5,-6.92154833333,112.724045,P3
2023-07-18T09:34:26,10.5,-6.92248166667,112.723728333,P3
2023-07-18T09:34:35,10.5,-6.9229,112.723581667,P3
2023-07-18T09:34:47,10.5,-6.92345666667,112.723383333,P3
2023-07-18T09:34:56,10.6,-6.92387333333,112.723238333,P3
2023-07-18T09:35:06,10.6,-6.92434,112.723078333,P3
2023-07-18T09:35:26,10.6,-6.92527666667,112.722755,P3
2023-07-18T09:35:57,10.6,-6.92673,112.72227,P3
2023-07-18T09:36:06,10.6,-6.92714666667,112.722116667,P3
2023-07-18T09:36:17,10.6,-6.92766166667,112.721933333,P3
2023-07-18T09:36:26,10.6,-6.92808,112.721776667,P3
2023-07-18T09:36:35,10.6,-6.92849333333,112.721613333,P3
2023-07-18T09:36:47,10.6,-6.92904833333,112.721401667,P3
2023-07-18T09:36:57,10.6,-6.92951166667,112.721226667,P3
2023-07-18T09:37:06,10.6,-6.92992666667,112.721063333,P3
2023-07-18T09:37:17,10.6,-6.93043166667,112.720863333,P3
2023-07-18T09:37:26,10.6,-6.930845,112.720698333,P3
2023-07-18T09:37:35,10.6,-6.93126166667,112.720541667,P3
2023-07-18T09:37:47,10.6,-6.93181166667,112.720325,P3
2023-07-18T09:38:06,10.6,-6.93268666667,112.719978333,P3
2023-07-18T09:38:17,10.6,-6.93319333333,112.719781667,P3
2023-07-18T09:38:26,10.6,-6.93360833333,112.719621667,P3
2023-07-18T09:38:35,10.6,-6.93402,112.719456667,P3
2023-07-18T09:38:57,10.6,-6.93502833333,112.719063333,P3
2023-07-18T09:39:06,10.6,-6.93544166667,112.718903333,P3
2023-07-18T09:39:17,10.6,-6.93594666667,112.71871,P3
2023-07-18T09:39:26,10.5,-6.93636333333,112.718556667,P3
2023-07-18T09:39:35,10.5,-6.93677333333,112.718395,P3
2023-07-18T09:39:47,10.5,-6.93732833333,112.718193333,P3
2023-07-18T09:40:06,10.6,-6.93821,112.717876667,P3
2023-07-18T09:40:17,10.5,-6.93871666667,112.717685,P3
2023-07-18T09:40:26,10.5,-6.93912833333,112.71752,P3
2023-07-18T09:40:46,10.5,-6.94004333333,112.717166667,P3
2023-07-18T09:40:57,10.5,-6.94054833333,112.716968333,P3
2023-07-18T09:41:06,10.5,-6.94096166667,112.716806667,P3
2023-07-18T09:41:17,10.6,-6.94146833333,112.7166,P3
2023-07-18T09:41:25,10.7,-6.94183833333,112.716455,P3
2023-07-18T09:41:35,10.7,-6.942305,112.716278333,P3
2023-07-18T09:41:46,10.8,-6.94282333333,112.716073333,P5
2023-07-18T09:41:57,10.9,-6.94334666667,112.715866667,P5
2023-07-18T09:42:06,11.1,-6.94378666667,112.71571,P5
2023-07-18T09:42:17,11.0,-6.944325,112.715531667,P5
2023-07-18T09:42:25,11.0,-6.94471,112.715388333,P5
2023-07-18T09:42:46,11.1,-6.94572666667,112.715013333,P5
2023-07-18T09:43:56,11.4,-6.94914833333,112.713851667,P5
2023-07-18T09:44:37,11.5,-6.95128833333,112.713148333,P5
2023-07-18T09:44:46,11.6,-6.95175333333,112.713003333,P5
2023-07-18T09:44:56,11.6,-6.95227333333,112.71284,P5
2023-07-18T09:45:17,11.7,-6.95331,112.712503333,P5
2023-07-18T09:45:25,11.7,-6.95378166667,112.712355,P5
2023-07-18T09:45:46,11.8,-6.95488333333,112.712006667,P5
2023-07-18T09:45:56,11.8,-6.95541,112.711843333,P5
2023-07-18T09:46:06,11.8,-6.955935,112.711671667,P5
2023-07-18T09:46:16,11.9,-6.956465,112.71151,P5
2023-07-18T09:46:25,11.9,-6.95694166667,112.711356667,P5
2023-07-18T09:46:37,11.9,-6.95757833333,112.711155,P5
2023-07-18T09:46:46,11.9,-6.95805833333,112.711005,P5
2023-07-18T09:46:56,12.0,-6.95853666667,112.710856667,P5
2023-07-18T09:47:06,12.0,-6.95912833333,112.710681667,P5
2023-07-18T09:47:16,12.0,-6.959665,112.710513333,P5
2023-07-18T09:47:25,12.0,-6.96014333333,112.710353333,P5
