MMSI;NAMA KAPAL;GT;LOA;TYPE;TRIP KE;Total Labuh;Total Pandu;PNBP Pandu;Total Tunda 1;PNBP Tunda 1;Total Tunda 2;PNBP Tunda 2;P1_duration;P2_duration;P3_duration;Total Tambat
525025041;MERATUS BORNEO;3668;106.68;0;3;330120;780120;39006.0;1782618.4200000002;15142672.6;3028534.52;15142672.6;1.86;11.49;3.16;203702.38
525113005;TANTO BERSINAR;13235;161.85;0;1;1191150;1641150;82057.5;7172599.629999999;17823260.650000002;3564652.1300000004;17823260.650000002;4.97;67.73;2.47;4332631.658333333
525113005;TANTO BERSINAR;13235;161.85;0;2;1191150;1641150;82057.5;3276016.33;72158.95;14431.789999999999;72158.95;2.27;32.21;0.01;2060446.8583333334
525119005;AYER MAS;4990;107.8;0;1;449100;899100;44955.0;2865607.0300000003;47919.85;9583.97;47919.85;2.99;3.13;0.01;75490.38333333333
525119011;KEDUNG MAS;4990;107.8;0;1;449100;899100;44955.0;2491832.2;15621871.099999998;3124374.2199999997;15621871.099999998;2.60;26.75;3.26;645165.4166666666
525119161;STRAIT MAS;29558;226.54;0;1;2660220;3110220;155511.0;7722070.199999999;35310321.0;7062064.2;35310321.0;2.34;22.60;2.14;3228718.866666667
525119161;STRAIT MAS;29558;226.54;0;2;2660220;3110220;155511.0;9504086.4;37785343.5;7557068.7;37785343.5;2.88;33.13;2.29;4733073.276666667
525119189;IZUMI MAS;14120;155;0;1;1270800;1720800;86040.0;5845422.4399999995;29533690.300000004;5906738.0600000005;29533690.300000004;2.86;43.07;2.89;2939383.9333333336
525119190;IFAMA MAS;14120;155;0;1;1270800;1720800;86040.0;5824983.9;31679737.0;6335947.4;31679737.0;2.85;28.74;3.10;1961409.2
525125013;MERATUS WAIGEO;11512;146;0;1;1036080;1486080;74304.0;5065558.289999999;23379499.800000004;4675899.960000001;23379499.800000004;3.51;37.54;3.24;2088775.6533333333
