timestamp,lat [deg],lon [deg],sog [kn],heading [deg],cog [deg],STATE,GERAKAN,Unnamed: 8,Unnamed: 9,LEGEND,STATE.1,FEE,Unnamed: 13,draught [m]
2023-09-01T00:02:46,-6.824273333,112.7680883,0.0,92,174.1,P0,,,,P0,OUTSIDE PORT,-,-,
2023-09-01T00:05:43,-6.824328333,112.7681,0.0,90,174.1,P0,,,,P1,PANDU TUNDA DERMAGA,"PANDU, TUNDA",LABUH,
2023-09-01T00:08:45,-6.824386667,112.7680933,0.0,87,174.1,P0,,,,P2,BERTHING,TAMBAT,,
2023-09-01T00:11:44,-6.82443,112.7680483,0.0,84,174.1,P0,,,,P3,PANDU TUNDA BALIK,"PANDU, TUNDA",,
2023-09-01T00:14:43,-6.824448333,112.7680583,0.0,82,174.1,P0,,,,,,,,
2023-09-01T00:20:44,-6.824266667,112.7681,0.1,89,174.1,P0,,,,,,,,
2023-09-01T00:23:43,-6.824138333,112.768105,0.1,93,174.1,P0,,,,,,,,
2023-09-01T00:26:46,-6.824055,112.7680883,0.0,96,174.1,P0,,,,,,,,
2023-09-01T00:29:43,-6.823983333,112.7680683,0.0,98,174.1,P0,,,,,,,,
2023-09-01T00:32:46,-6.823933333,112.7680917,0.0,100,174.1,P0,,,,,,,,
2023-09-01T00:35:43,-6.823921667,112.7681183,0.0,100,174.1,P0,,,,,,,,
2023-09-01T00:38:47,-6.823946667,112.7681,0.0,99,174.1,P0,,,,,,,,
2023-09-01T00:47:43,-6.823903333,112.768085,0.0,98,174.1,P0,,,,,,,,
2023-09-01T00:59:47,-6.823965,112.7680817,0.1,97,174.1,P0,,,,,,,,
2023-09-01T01:05:49,-6.823985,112.7680767,0.0,94,174.1,P0,,,,,,,,
2023-09-01T01:08:48,-6.823911667,112.768095,0.0,98,174.1,P0,,,,,,,,
2023-09-01T01:14:49,-6.82385,112.7680983,0.0,104,174.1,P0,,,,,,,,
2023-09-01T01:20:50,-6.824088333,112.7680733,0.1,98,174.1,P0,,,,,,,,
2023-09-01T01:23:49,-6.824213333,112.7680767,0.1,92,174.1,P0,,,,,,,,
2023-09-01T01:26:51,-6.824265,112.7680867,0.0,87,174.1,P0,,,,,,,,
2023-09-01T01:29:48,-6.824218333,112.768065,0.0,87,174.1,P0,,,,,,,,
2023-09-01T01:35:50,-6.82399,112.7680783,0.0,96,174.1,P0,,,,,,,,
2023-09-01T01:38:44,-6.823935,112.7680867,0.0,100,174.1,P0,,,,,,,,
2023-09-01T01:41:49,-6.823935,112.7680883,0.0,101,174.1,P0,,,,,,,,
2023-09-01T01:44:45,-6.823991667,112.76809,0.0,99,174.1,P0,,,,,,,,
2023-09-01T01:47:42,-6.824078333,112.76808,0.1,95,174.1,P0,,,,,,,,
2023-09-01T01:50:43,-6.824168333,112.7680417,0.1,92,174.1,P0,,,,,,,,
2023-09-01T01:56:45,-6.824301667,112.76806,0.0,88,174.1,P0,,,,,,,,
2023-09-01T01:59:46,-6.824338333,112.7680983,0.0,87,174.1,P0,,,,,,,,
2023-09-01T02:05:45,-6.824318333,112.7680967,0.0,85,174.1,P0,,,,,,,,
2023-09-01T02:11:45,-6.82424,112.7680633,0.0,90,174.1,P0,,,,,,,,
2023-09-01T02:14:44,-6.824216667,112.76808,0.0,92,174.1,P0,,,,,,,,
2023-09-01T02:17:46,-6.82424,112.7680817,0.0,92,174.1,P0,,,,,,,,
2023-09-01T02:20:44,-6.824276667,112.7681117,0.0,91,174.1,P0,,,,,,,,
2023-09-01T02:23:41,-6.824338333,112.7681317,0.0,88,174.1,P0,,,,,,,,
2023-09-01T02:26:45,-6.824353333,112.768145,0.0,86,174.1,P0,,,,,,,,
2023-09-01T02:29:47,-6.82437,112.768105,0.0,84,174.1,P0,,,,,,,,
2023-09-01T02:32:47,-6.824371667,112.7680583,0.0,84,174.1,P0,,,,,,,,
2023-09-01T02:35:48,-6.824346667,112.7680767,0.0,86,174.1,P0,,,,,,,,
2023-09-01T02:38:45,-6.824281667,112.7680867,0.0,88,174.1,P0,,,,,,,,
2023-09-01T02:41:48,-6.82426,112.768075,0.0,90,174.1,P0,,,,,,,,
2023-09-01T02:47:42,-6.824296667,112.76807,0.0,89,174.1,P0,,,,,,,,
2023-09-01T02:56:45,-6.824358333,112.7681067,0.0,84,174.1,P0,,,,,,,,
2023-09-01T02:59:47,-6.82428,112.768105,0.1,86,174.1,P0,,,,,,,,
2023-09-01T03:02:45,-6.824183333,112.7681117,0.1,90,174.1,P0,,,,,,,,
2023-09-01T03:05:42,-6.824126667,112.768085,0.0,94,174.1,P0,,,,,,,,
2023-09-01T03:08:44,-6.8241,112.7680883,0.0,96,174.1,P0,,,,,,,,
2023-09-01T03:11:42,-6.824123333,112.7680933,0.0,95,174.1,P0,,,,,,,,
2023-09-01T03:14:44,-6.82418,112.7681,0.0,93,174.1,P0,,,,,,,,
2023-09-01T03:17:47,-6.824211667,112.7680933,0.0,90,174.1,P0,,,,,,,,
2023-09-01T03:20:46,-6.824195,112.7680867,0.0,90,174.1,P0,,,,,,,,
2023-09-01T03:23:46,-6.824121667,112.7680967,0.0,92,174.1,P0,,,,,,,,
2023-09-01T03:26:44,-6.824038333,112.768085,0.0,96,174.1,P0,,,,,,,,
2023-09-01T03:29:46,-6.823988333,112.7680933,0.0,99,174.1,P0,,,,,,,,
2023-09-01T03:32:47,-6.823976667,112.7681183,0.0,100,174.1,P0,,,,,,,,
2023-09-01T03:35:45,-6.82402,112.7681067,0.0,98,174.1,P0,,,,,,,,
2023-09-01T03:41:45,-6.824045,112.7680767,0.0,94,174.1,P0,,,,,,,,
2023-09-01T03:44:47,-6.823995,112.76807,0.0,95,174.1,P0,,,,,,,,
2023-09-01T03:47:47,-6.823938333,112.7681017,0.0,98,174.1,P0,,,,,,,,
2023-09-01T03:50:49,-6.823911667,112.7681383,0.0,101,174.1,P0,,,,,,,,
2023-09-01T03:53:46,-6.823928333,112.7681333,0.0,102,174.1,P0,,,,,,,,
2023-09-01T03:56:49,-6.824011667,112.7681083,0.1,100,174.1,P0,,,,,,,,
2023-09-01T03:59:47,-6.824138333,112.7680883,0.1,94,174.1,P0,,,,,,,,
2023-09-01T04:02:50,-6.824216667,112.7680817,0.0,89,174.1,P0,,,,,,,,
2023-09-01T04:05:47,-6.824205,112.7681117,0.0,88,174.1,P0,,,,,,,,
2023-09-01T04:08:49,-6.824076667,112.7681383,0.1,91,174.1,P0,,,,,,,,
2023-09-01T04:11:42,-6.823903333,112.7681567,0.2,97,2.4,P0,,,,,,,,
2023-09-01T04:17:44,-6.823608333,112.768135,0.1,107,356.0,P0,,,,,,,,
2023-09-01T04:23:45,-6.823591667,112.7682083,0.0,110,356.0,P0,,,,,,,,
2023-09-01T04:26:47,-6.82364,112.7682383,0.0,110,356.0,P0,,,,,,,,
2023-09-01T04:38:44,-6.823868333,112.7681383,0.0,101,356.0,P0,,,,,,,,
2023-09-01T04:41:46,-6.823846667,112.7681367,0.0,100,356.0,P0,,,,,,,,
2023-09-01T04:44:45,-6.823773333,112.7681617,0.1,101,356.0,P0,,,,,,,,
2023-09-01T04:47:47,-6.823633333,112.7681967,0.1,106,356.0,P0,,,,,,,,
2023-09-01T04:50:47,-6.823503333,112.76821,0.1,111,356.0,P0,,,,,,,,
2023-09-01T04:56:48,-6.82333,112.7682867,0.0,118,356.0,P0,,,,,,,,
2023-09-01T04:59:46,-6.823331667,112.7683033,0.0,118,356.0,P0,,,,,,,,
2023-09-01T05:02:49,-6.823326667,112.7683083,0.0,117,356.0,P0,,,,,,,,
2023-09-01T05:05:45,-6.823283333,112.76835,0.0,119,356.0,P0,,,,,,,,
2023-09-01T05:08:50,-6.823216667,112.768365,0.0,123,356.0,P0,,,,,,,,
2023-09-01T05:11:45,-6.8232,112.7683467,0.0,123,356.0,P0,,,,,,,,
2023-09-01T05:20:48,-6.823303333,112.7682967,0.0,114,356.0,P0,,,,,,,,
2023-09-01T05:23:46,-6.823271667,112.7683283,0.0,116,356.0,P0,,,,,,,,
2023-09-01T05:26:50,-6.823205,112.76838,0.0,121,356.0,P0,,,,,,,,
2023-09-01T05:29:45,-6.823163333,112.7683833,0.0,124,356.0,P0,,,,,,,,
2023-09-01T05:32:50,-6.823181667,112.7683483,0.1,124,356.0,P0,,,,,,,,
2023-09-01T05:35:47,-6.823293333,112.76831,0.1,120,356.0,P0,,,,,,,,
2023-09-01T05:41:42,-6.823585,112.768215,0.1,111,356.0,P0,,,,,,,,
2023-09-01T05:44:49,-6.823736667,112.7681783,0.1,106,356.0,P0,,,,,,,,
